NAME,PLACE,ADDR:CITY,ADDR:HOUSE,ADDR:FLATS,ADDR:POSTC,longitude,latitude
Harmutigaon,village,,,,,93.83235170000,27.10564930000
Banderdeva,village,,,,,93.83880500000,27.09270270000
BULLDOZER POINT,locality,,,,,93.85071000000,26.90003000000
RIM PASS N,locality,,,,,93.85208000000,27.63886000000
NARAYANPUR,locality,,,,,93.85483000000,26.95221000000
Gobmi,village,,,,,93.86380000000,25.60690000000
Garampani,village,,,,,93.86430000000,26.30200000000
LICHI,locality,,,,,93.88504000000,27.37793000000
Bihpuriagaon,village,,,,,93.91440000000,27.00100000000
Pemir,village,,,,,93.92287340000,27.71170760000
Potin,village,,,,,93.92940000000,27.31100000000
Nij Laluk,village,,,,,93.93020000000,27.11120000000
HAWA CAMP,locality,,,,,93.93860000000,27.35321000000
Golaghat,town,,,,,93.96500160000,26.50390020000
DERGAON,locality,,,,,93.97019000000,26.71463000000
CHECKPOST,locality,,,,,93.97843000000,27.29691000000
Nahorani,village,,,,,94.00662180000,26.67057120000
Khonoma,village,,,,,94.02237180000,25.65227110000
Senapati,village,,,,,94.03095970000,25.27587090000
Karong,village,,,,,94.04045870000,25.29336930000
Diju,village,,,,,94.04290000000,27.30250000000
PAUMARA,locality,,,,,94.05258000000,27.20352000000
Merima,village,,,,,94.09052080000,25.71348760000
Kohima,city,,,,,94.10119700000,25.66186600000
North Lakhimpur,town,,,,,94.11255690000,27.23847340000
KALI GHAT,locality,,,,,94.12125000000,27.06207000000
Majuli Island,island,,,,,94.13761400000,26.85688160000
Kohīma,county,,,,,94.16666700000,25.75000000000
Nargargaon,village,,,,,94.16940000000,27.01460000000
Tibatar,village,,,,,94.18410000000,26.58300000000
Sanis,village,,,,,94.21410000000,26.21180000000
Jorhat,city,,,,,94.21681310000,26.76175490000
TOP RAPID,locality,,,,,94.21738000000,27.62100000000
REST STOP,locality,,,,,94.22287000000,27.58804000000
Tseminyu,village,,,,,94.22390000000,25.89120000000
Nimati Ghat,village,,,,,94.24278420000,26.86048280000
Gohaingaon,village,,,,,94.24334290000,26.82435690000
SUBANSARI BR,locality,,,,,94.24897000000,27.44797000000
Nāgāland,state,,,,,94.25000000000,26.00000000000
Wokha,county,,,,,94.25000000000,26.16666700000
Mokokchūng,county,,,,,94.25000000000,26.25000000000
Lakhimpur,county,,,,,94.25000000000,27.35000000000
Wokha,village,,,,,94.29530000000,25.99160000000
Mariani,village,,,,,94.31631100000,26.65256920000
Pathalipam,village,,,,,94.32652550000,27.43576390000
Neamati,village,,,,,94.35596990000,26.86396180000
Teok,village,,,,,94.41266520000,26.83041540000
Bordoloni,village,,,,,94.42610000000,27.47410000000
Chongliyimsen,village,,,,,94.42970000000,26.42560000000
Bordoloni,village,,,,,94.44320010000,27.41457130000
Sakhai,village,,,,,94.47460000000,25.77010000000
Jhanji,village,,,,,94.49627830000,26.84946790000
Sakhalu,village,,,,,94.49880000000,25.95410000000
Phek,county,,,,,94.50000000000,25.75000000000
Zunheboto,county,,,,,94.50000000000,26.00000000000
Mokokchung,village,,,,,94.52289080000,26.32811370000
Amguri,village,,,,,94.52488600000,26.80946490000
GAURIAGAR,locality,,,,,94.53598000000,26.94946000000
Dhemaji,village,,,,,94.55871450000,27.47222320000
Tzudikong,village,,,,,94.63139630000,26.71788480000
Sibsagar,town,,,,,94.63942260000,26.98349360000
Tuli,town,,,,,94.64675010000,26.67681680000
Merangkong,village,,,,,94.65744700000,26.57684870000
Sisi Bargaon,village,,,,,94.67991100000,27.53241170000
Naginmara,village,,,,,94.70670000000,26.80220000000
Sepon,village,,,,,94.71650000000,27.09970000000
Silapathar,village,,,,,94.72525530000,27.58825220000
Kulajan,village,,,,,94.72894020000,27.52462710000
Simalugiri,village,,,,,94.72960000000,26.90560000000
Wakching,village,,,,,94.74190000000,26.67740000000
Tuensang District,county,,,,,94.75000000000,26.25000000000
Daring,village,,,,,94.80730330000,27.85648310000
Naginimora,village,,,,,94.81154260000,26.81295200000
Tuensang,village,,,,,94.81780780000,26.23521210000
Mon,county,,,,,94.83333300000,26.75000000000
Sepon,village,,,,,94.85164850000,27.11551870000
BORBORUAH,locality,,,,,94.88068000000,27.40265000000
MAJARBARI GHAT,locality,,,,,94.89853000000,27.58255000000
Moranhat,town,,,,,94.91323850000,27.18165200000
Dibrugarh,city,,,,,94.91542010000,27.48598260000
Dijmur,village,,,,,94.92750000000,27.64290000000
MIJAN GHAT,locality,,,,,94.95209000000,27.52075000000
Mon,county,,,,,95.00000000000,26.66666700000
Dibrugarh,county,,,,,95.00000000000,27.50000000000
Tinkhang,village,,,,,95.00521420000,27.25390920000
Sonari,village,,,,,95.02420000000,27.04910000000
Mon,village,,,,,95.05690000000,26.72330000000
Saoekhati,village,,,,,95.13820000000,27.09210000000
Chabua,village,,,,,95.17208770000,27.48668370000
Jonai,village,,,,,95.22240750000,27.83730530000
Murkong Selek,village,,,,,95.23161730000,27.84508750000
Niaunyu,village,,,,,95.29320000000,26.81320000000
Barhat,village,,,,,95.30660000000,27.15680000000
Honey Dew Bakery,,Duliajan,,,"786602",95.31301080000,27.36094810000
Duliajan College,,Duliajan,,,"786602",95.31333330000,27.34500000000
,,Duliajan,C-92,,"786602",95.31541940000,27.35806570000
Jayanagar,suburb,,,,,95.31594070000,27.34930130000
,,Duliajan,B-189,,"786602",95.31670150000,27.35868510000
BOC Gate,suburb,,,,,95.31711410000,27.35167710000
,,Duliajan,,,"786602",95.31734790000,27.34860580000
Prarthana Hotel,,Duliajan,,,"786602",95.31770470000,27.34672580000
Life Care Medical,,Duliajan,,,"786602",95.31794610000,27.34608730000
,,Duliajan,TD+146,,"786602",95.31820360000,27.37296300000
,,Duliajan,C-67,,"786602",95.31916380000,27.36178190000
Duliajan,town,,,,,95.31923070000,27.35591340000
,,Duliajan,,,"786602",95.31953560000,27.35508100000
,,Duliajan,D+157,,"786602",95.32003280000,27.36278710000
,,Duliajan,TD+116,,"786602",95.32043520000,27.37221990000
,,Duliajan,B-21,,"786602",95.32076780000,27.35837540000
,,Duliajan,F-9,,"786602",95.32122910000,27.36311580000
,,Duliajan,D-7,,"786602",95.32125060000,27.36039550000
,,Duliajan,D-6,,"786602",95.32149220000,27.36039450000
,,Duliajan,E-23,,"786602",95.32152410000,27.36416870000
,,Duliajan,E-24,,"786602",95.32154020000,27.36374470000
Ledum,village,,,,,95.32181890000,27.96382300000
,,Duliajan,D-5,,"786602",95.32188900000,27.36039280000
,,Duliajan,DX-70,,"786602",95.32194790000,27.36931390000
,,Duliajan,D-4,,"786602",95.32212010000,27.36039190000
,,Duliajan,E-25,,"786602",95.32225370000,27.36415920000
,,Duliajan,D+153,,"786602",95.32228050000,27.35950930000
,,Duliajan,E-26,,"786602",95.32227520000,27.36376380000
,,Duliajan,D-3,,"786602",95.32232350000,27.36039100000
Tipling,suburb,,,,,95.32238570000,27.33283620000
,,Duliajan,D+109,,"786602",95.32246290000,27.35694130000
,,Duliajan,D-2,,"786602",95.32254350000,27.36039010000
,,Duliajan,D+115,,"786602",95.32257560000,27.35717950000
,,Duliajan,D-1,,"786602",95.32275820000,27.36038920000
,,,,,"786602",95.32330190000,27.35547400000
,,Duliajan,E-88,,"786602",95.32351430000,27.36789900000
,,Duliajan,F-27,,"786602",95.32369670000,27.36415440000
,,Duliajan,F-28,,"786602",95.32371280000,27.36372090000
,,Duliajan,D+169,,"786602",95.32371820000,27.36186760000
,,Duliajan,D+168,,"786602",95.32407760000,27.36185330000
Bordubi,town,,,,,95.32413610000,27.39293700000
,,Duliajan,E-78,,"786602",95.32417420000,27.36641740000
,,Duliajan,D+91,,"786602",95.32423320000,27.35756540000
,,Duliajan,D+167,,"786602",95.32437260000,27.36185330000
,,Duliajan,F-29,,"786602",95.32438870000,27.36416400000
,,Duliajan,F-30,,"786602",95.32442090000,27.36372090000
,,,,,"786602",95.32463600000,27.35531200000
,,Duliajan,D+166,,"786602",95.32476430000,27.36184380000
,,,,,"786602",95.32482900000,27.35542600000
,,Duliajan,A-87,,"786602",95.32489300000,27.35723670000
,,Duliajan,D+165,,"786602",95.32509680000,27.36182950000
,,Duliajan,F-32,,"786602",95.32526310000,27.36369230000
,,Duliajan,F-31,,"786602",95.32527390000,27.36413540000
,,Duliajan,A-70,,"786602",95.32583710000,27.35757020000
,,,A-48,,,95.32586400000,27.35771790000
,,Duliajan,F-33,,"786602",95.32597660000,27.36413540000
,,Duliajan,F-54,,"786602",95.32641650000,27.36470710000
,,Duliajan,SAP1449,,"786602",95.32716210000,27.35520220000
,,Duliajan,SAP1459,,"786602",95.32725330000,27.35446850000
,,Duliajan,F-1,,"786602",95.32763960000,27.36276810000
